State_Name,Total_Confirmed,Total_Cured,Total_Death
AndhraPradesh,381,11,6
AndamanNicobar,11,10,0
Bihar,64,19,1
Chandigarh,19,7,0
Chhattisgarh,25,10,0
Delhi,1069,25,19
Goa,7,5,0
Gujarat,432,44,22
Haryana,185,29,3
HimachalPradesh,32,6,1
J & K,224,6,4
Karnataka,226,37,6
Kerala,374,142,2
Ladakh,15,10,0
MP,564,0,36
Maharashtra,1761,208,127
Manipur,2,1,0
Mizoram,1,0,0
Odisha,54,12,1
Puducherry,7,1,0
Punjab,151,5,11
Rajasthan,700,21,3
TamilNadu,969,44,10
Telengana,504,43,9
Uttarakhand,35,5,0
UttarPradesh,452,45,5
West Bengal,134,19,5
Assam,29,0,1
Jharkhand,17,0,1
Arunachal Pradesh,1,0,0
Tripura,2,0,0
Tripura,2,0,0
Tripura,2,0,0
Tripura,2,0,0
Tripura,2,0,0
Tripura,2,0,0
